150 700
230 2805 62
2441 2496 55
2534 2685 40
1918 2933 76
859 2601 48
1644 1918 34
132 1482 4
1882 2282 7
193 1471 83
327 1084 17
2188 2634 23
1011 2620 60
1621 2197 55
2662 2941 74
1555 2662 83
586 2772 83
327 2088 22
656 1918 48
1077 1732 79
1858 2282 68
1456 2168 43
1880 2466 78
2234 2571 21
915 1577 64
654 1379 37
27 272 91
2391 2466 18
656 1636 59
1564 2987 7
1564 2395 96
871 1097 42
1495 2662 37
373 1127 84
1557 2443 93
457 1729 79
450 1097 68
193 1394 66
586 2622 33
1577 1918 80
939 2234 21
1858 2534 91
327 882 100
656 2860 71
859 2534 87
815 1293 62
420 2709 99
627 1555 64
859 2234 22
1084 2233 47
230 567 51
1858 2788 54
2197 2534 65
1882 1918 11
1379 2262 65
261 2875 51
1077 2800 81
882 1732 99
384 670 83
586 1471 79
865 2365 81
1077 2443 76
1003 1201 9
1084 2800 58
1483 2987 78
293 934 23
193 1918 37
2022 2575 52
2233 2395 89
373 915 56
188 627 68
1482 1577 68
586 1084 66
1289 2088 12
414 420 26
327 457 47
865 2300 85
637 2395 4
2168 2473 71
627 2188 56
123 1755 29
896 2496 75
357 2168 48
1097 1329 100
1289 2987 81
397 1289 72
1094 2022 50
457 1880 35
123 1289 81
1621 2805 16
656 2788 81
230 1918 57
1329 1551 10
1186 2473 28
357 2088 26
1097 1379 42
420 1011 92
420 2571 18
1186 2496 13
512 1644 16
132 1030 58
450 2070 53
272 2299 17
293 1003 45
586 2685 31
1106 2534 10
1106 1644 19
1106 1555 15
132 1293 56
1577 2886 80
1077 2088 40
586 2575 48
1003 2234 99
1840 2414 87
1085 2391 19
1409 2441 65
420 656 37
637 1555 77
586 2473 4
1880 2395 71
285 2601 14
1495 2419 39
1127 2989 82
627 2860 55
1011 2395 85
954 2805 71
954 1139 45
373 1097 99
934 1106 71
1409 2685 58
178 900 32
1729 2299 57
420 2197 83
1011 2534 95
373 1394 74
123 2933 11
2045 2395 51
667 2395 41
788 2634 16
2234 2772 61
397 2234 11
103 1456 69
230 2575 54
2070 2875 8
380 2324 64
450 670 57
512 1127 31
2395 2620 22
1004 1409 48
1011 1495 40
357 2466 14
1755 2933 83
357 1077 54
419 1394 76
1483 2709 92
1140 2234 89
103 1732 90
953 2772 9
327 2233 84
670 2571 44
2188 2233 59
27 1289 17
1003 1719 19
2419 2655 3
1094 1755 26
859 2299 45
903 2875 77
103 788 100
1644 2208 47
1482 2941 5
953 2022 82
2709 2819 93
1621 2088 94
2188 2622 82
1140 2571 24
567 2571 33
272 670 18
1409 2395 71
572 1409 6
230 1495 98
397 2788 75
373 1140 85
654 2604 31
373 1003 42
667 1557 61
859 1011 89
285 512 61
2022 2941 87
1555 2941 71
1456 1495 35
420 1085 78
859 865 10
293 1456 98
123 701 26
